CASEID,Y1,YY1,OCCAT1,OCCAT2,INDCAT,LF,HOUSECL,EDCL,EDUC,AGECL,LIFECL,FAMSTRUCT,KIDS,MARRIED,EXPENSHILO,WSAVED,SAVRES1,SAVRES2,SAVRES3,SAVRES4,SAVRES5,SAVRES6,SAVRES7,SAVRES8,SAVRES9,ASSET,FIN,NFIN,LIQ,CHECKING,SAVING,MMA,CDS,STOCKS,EQUITY,DEQ,BOND,GOVTBND,OBND,MORTBND,RETQLIQ,RETEQ,IRAKH,YESFINRISK,NOFINRISK
176061,62551,6255,1,3,1,1,1,3,9,2,3,4,3,1,3,2,0,0,0,0,0,1,0,0,0,274929.9993,130950.0004,143979.9988,699.9998787,699.9998787,0,0,0,0,53809.49813,0,0,0,0,0,55249.99805,53809.49813,0,0,1
176071,62571,6257,1,3,1,1,1,3,9,4,5,4,2,1,1,3,0,0,0,0,1,0,0,0,0,6780.002702,1600.0036,5180.000912,600.0024809,600.0024809,0,0,0,0,90.00037213,0,0,0,0,0,1000.001119,90.00037213,0,0,1
176077,62582,6258,2,1,2,1,2,4,14,1,3,4,1,1,1,3,0,0,0,0,0,0,1,0,0,47075.00315,974.9995079,46100.00364,974.9995079,955.0009331,20.00309839,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176086,62601,6260,1,1,2,1,1,3,9,3,3,4,3,1,1,3,0,0,0,0,0,1,0,0,0,613859.9996,216699.9991,397160.0004,4999.996549,1000.001119,4000.004477,0,0,29999.99739,154390.0021,29999.99739,0,0,0,0,164199.9992,120749.9999,0,0,0
176091,62611,6261,1,1,2,1,1,2,8,3,1,2,0,2,3,3,0,0,0,0,0,1,0,0,0,185799.9999,76000.00182,109799.998,4999.996549,4999.996549,0,0,29999.99739,0,7830.001616,0,0,0,0,0,29199.99649,7830.001616,17000.00093,0,1
176101,62631,6263,1,2,2,1,2,2,8,2,3,4,2,1,3,3,0,0,0,0,0,0,1,0,0,12160.00022,4560.00257,7600.001268,4560.00257,2000.002238,2560.000332,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176106,62641,6264,2,3,2,1,1,2,8,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,217999.9997,15999.99981,201999.9999,15999.99981,5999.997668,10000.00214,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176111,62651,6265,1,1,2,1,2,4,12,5,5,3,0,2,3,3,0,0,0,0,0,0,1,0,0,108799.9987,108799.9987,0,3000.003357,3000.003357,0,0,20000.00429,0,57900.00056,57900.00056,0,0,0,0,0,0,0,0,0
176116,62661,6266,4,4,4,1,1,4,12,3,3,4,4,1,2,3,0,0,0,0,0,0,1,0,0,229545.9998,71200.00007,158346.0015,6399.998115,3800.000634,2599.997481,0,0,0,33095.99933,0,0,0,0,0,64300.00049,33095.99933,57000.00046,0,1
176121,62671,6267,3,4,4,0,1,3,9,6,6,1,2,2,3,3,0,0,0,0,0,0,1,0,0,3891959.998,1209260,2682700,66499.99752,66499.99752,0,0,35199.99959,513999.9962,522759.9981,522759.9981,499999.9986,499999.9986,0,0,34799.99914,0,34799.99914,0,0
176126,62681,6268,2,2,2,1,2,3,10,2,4,1,1,2,1,2,0,0,0,0,0,0,1,0,0,62539.99924,6539.9999,55999.99934,6.667699463,6.667699463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176131,62691,6269,1,1,2,1,1,3,9,2,3,4,1,1,3,3,0,0,0,0,0,1,0,0,0,309420.0001,114199.9957,195219.9972,9700.000904,3700.003236,2000.002238,4000.004477,499.996036,3000.003357,3000.003357,3000.003357,0,0,0,0,101000.0045,0,0,0,0
176136,62701,6270,1,1,2,1,2,3,9,2,4,1,3,2,3,3,0,0,1,0,0,0,0,0,0,19149.99836,3049.999342,16100.00083,3049.999342,1648.00018,1401.999162,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176141,62711,6271,1,1,2,1,1,4,13,5,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,765280.0002,308520,456760.0002,15519.99783,7519.997921,7999.999906,0,0,0,247999.9971,20999.99636,0,0,0,0,5999.997668,0,5999.997668,0,1
176146,62721,6272,1,1,2,1,1,4,12,2,3,4,3,1,2,1,0,0,0,0,0,1,0,0,0,3887679.999,1583480,2304200,303999.9964,4000.004477,0,0,0,1049999.999,1243999.997,1049999.999,0,0,0,0,199999.9976,193999.9982,100000.0033,0,0
176151,62731,6273,1,1,2,1,1,4,13,3,3,4,2,1,1,3,0,0,0,0,0,1,0,0,0,508799.9976,175000.0022,333800.0026,21800.00268,1799.998396,20000.00429,0,3199.998153,75000.00251,100379.9989,75000.00251,0,0,0,0,74000.00139,23189.99999,9000.001025,0,0
176156,62741,6274,1,1,2,1,1,3,9,4,5,5,0,1,3,1,0,0,0,0,0,1,0,0,0,305345.9996,44166.00168,261179.9979,22165.99877,825.9985903,1939.998371,19400.00362,0,0,8139.998072,0,0,0,0,0,21999.99748,8139.998072,21999.99748,0,0
176161,62751,6275,2,1,2,1,1,4,12,3,1,2,0,2,2,2,0,0,0,0,0,1,0,0,0,305159.9988,46039.99797,259119.999,8280.001667,3379.998897,4900.00277,0,0,0,17738.00036,0,0,0,0,0,37759.99992,17738.00036,0,0,1
176166,62761,6276,1,3,2,1,1,3,11,4,5,5,0,1,1,2,0,0,0,0,0,1,0,0,0,578799.9982,358140.0007,220659.9992,11839.9995,4299.99667,7540.002829,0,0,0,238939.9994,0,0,0,0,0,327299.9999,238939.9994,39500.00349,0,0
176171,62771,6277,1,3,2,1,1,2,8,2,3,4,4,1,3,2,0,1,0,0,0,0,0,0,0,111968.9998,70009.00057,41959.99919,9.000037213,7.99942994,1.004226106,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176181,62791,6279,1,3,1,1,2,2,8,1,2,5,0,1,3,3,0,0,0,0,0,0,1,0,0,26186.00092,1006.002953,25179.99796,905.9983179,905.9983179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176196,62821,6282,2,2,2,1,1,2,8,5,5,3,0,2,3,3,0,0,0,0,1,0,0,0,0,992628.0006,28616.00011,964012.0023,21216.00087,20336.00025,0,880.0006229,0,2700.002117,7399.997425,2700.002117,0,0,0,0,4700.004355,4700.004355,4700.004355,0,1
176201,62831,6283,2,1,2,1,1,4,14,4,5,5,0,1,1,3,0,0,0,0,0,1,0,0,0,6179759.998,2936199.996,3243560,80200.0029,79999.99906,200.0038427,0,31999.99962,54999.99822,1715799.999,91000.00232,0,0,0,0,2708000,1624799.996,327999.9961,0,0
176206,62841,6284,1,1,2,1,2,2,8,1,4,1,2,2,1,3,0,0,0,0,0,0,1,0,0,3892.002221,1391.998518,2499.998274,1391.998518,1380.000278,11.9982402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176216,62861,6286,1,3,2,1,1,2,8,2,3,4,3,1,3,3,0,0,0,0,0,1,0,0,0,99619.99695,10700.00202,88920.00217,2000.002238,1399.999757,600.0024809,0,0,0,3219.000644,0,0,0,0,0,8699.999785,3219.000644,0,0,0
176221,62871,6287,1,1,2,1,1,4,13,5,5,5,0,1,1,3,0,0,0,0,0,0,1,0,0,717200.0011,505999.9999,211200.0011,6000.001287,6000.001287,0,0,0,0,300000.001,0,0,0,0,0,499999.9986,300000.001,0,0,0
176226,62881,6288,1,1,2,1,1,4,13,4,5,3,0,2,3,3,0,0,0,0,0,0,1,0,0,171700.0013,13699.99633,157999.9959,1700.000998,699.9998787,1000.001119,0,0,0,11760.00339,0,0,0,0,0,12000.00438,11760.00339,12000.00438,0,1
