period_id,requested_start,requested_end,price_start,price_end,risk_label,sample_size,portfolio,sharpe_ratio,excess_sharpe_vs_benchmark,annualized_return,annualized_volatility,cumulative_return,num_return_days,num_test_users,user_sharpe_hit_rate_vs_benchmark,user_sharpe_mean,user_sharpe_median,mean_weight_cash,mean_weight_bond,mean_weight_pension,mean_weight_equity
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,3,20,supcon_final_proxy_etf,1.5070570936881025,0.9104062373760189,0.07118552100757225,0.04634697326950303,0.15781784876161753,537,20.0,1.0,1.6949709732386538,1.4587704857487551,0.4381345808506012,0.00692758709192276,0.4435657560825348,0.11137206852436066
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,3,20,benchmark_etf,0.5966508563120836,0.0,0.10102120831066119,0.1925290340157254,0.22762186115213967,537,,,,,0.0,0.0,0.0,1.0
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,4,20,supcon_final_proxy_etf,1.566870863696199,0.9702200073841154,0.0699142573690299,0.04374491265716026,0.1548917203550908,537,20.0,1.0,1.62683188930035,1.5016299733056904,0.4536634087562561,0.006233370862901211,0.4490532875061035,0.09104994684457779
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,4,20,benchmark_etf,0.5966508563120836,0.0,0.10102120831066119,0.1925290340157254,0.22762186115213967,537,,,,,0.0,0.0,0.0,1.0
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,5,20,supcon_final_proxy_etf,1.6118859521322952,1.0152350958202117,0.06876459441915883,0.04180465909037498,0.15224886972999396,537,20.0,1.0,1.7279671927484468,1.5884392185171525,0.47023138403892517,0.004806251730769873,0.4464346468448639,0.07852774858474731
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,5,20,benchmark_etf,0.5966508563120836,0.0,0.10102120831066119,0.1925290340157254,0.22762186115213967,537,,,,,0.0,0.0,0.0,1.0
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,1,20,supcon_final_proxy_etf,1.790406203806043,0.12009013721540662,0.06151775484294775,0.033663984803966415,0.11725068708216013,468,20.0,0.55,1.9560210235694941,1.7498761720274219,0.5956064462661743,0.004319655708968639,0.3687230050563812,0.031350888311862946
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,1,20,benchmark_etf,1.6703160665906365,0.0,0.5932008011160232,0.30754648258077477,1.374899544602202,468,,,,,0.0,0.0,0.0,1.0
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,2,20,supcon_final_proxy_etf,1.7893495476391794,0.11903348104854294,0.10012804192141522,0.054158413321081844,0.19389465415678275,468,20.0,0.55,1.7313496049771022,1.7174488282192781,0.4357112944126129,0.006520339287817478,0.46531957387924194,0.09244875609874725
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,2,20,benchmark_etf,1.6703160665906365,0.0,0.5932008011160232,0.30754648258077477,1.374899544602202,468,,,,,0.0,0.0,0.0,1.0
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,3,20,supcon_final_proxy_etf,1.8218792609937955,0.15156319440315902,0.10862328857298809,0.057518170316065126,0.21107288582632155,468,20.0,0.6,1.7829391269659698,1.7618436752758815,0.4381345808506012,0.00692758709192276,0.4435657560825348,0.11137206852436066
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,3,20,benchmark_etf,1.6703160665906365,0.0,0.5932008011160232,0.30754648258077477,1.374899544602202,468,,,,,0.0,0.0,0.0,1.0
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,4,20,supcon_final_proxy_etf,1.8040945843693468,0.1337785177787103,0.09825481736404584,0.05272852102662777,0.19012205326615028,468,20.0,0.65,1.7481240035221421,1.7417440806618685,0.4536634087562561,0.006233370862901211,0.4490532875061035,0.09104994684457779
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,4,20,benchmark_etf,1.6703160665906365,0.0,0.5932008011160232,0.30754648258077477,1.374899544602202,468,,,,,0.0,0.0,0.0,1.0
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,5,20,supcon_final_proxy_etf,1.793136647759825,0.12282058116918848,0.0914768279654894,0.04950530839149791,0.17651750812354638,468,20.0,0.6,1.722985211644562,1.7351433622209655,0.47023138403892517,0.004806251730769873,0.4464346468448639,0.07852774858474731
3,2024-05-05,2026-04-11,2024-05-08,2026-04-10,5,20,benchmark_etf,1.6703160665906365,0.0,0.5932008011160232,0.30754648258077477,1.374899544602202,468,,,,,0.0,0.0,0.0,1.0
