CASEID,predicted_risk_level_model,predicted_risk_level_allocation,risk_level_used_for_recommendation,predicted_risky_share,aux_risk_label,aux_allocation_mae,rescaled_overlap_flag,coverage_before_rescale,coverage_after_rescale,top_ranked_product_id,top_ranked_product_name,top_basket_product_id,top_basket_weight,basket_asset_diversification,basket_category_diversification,basket_subtype_diversification,basket_overall_diversification,pred_cash,aux_cash,pred_bond,aux_bond,pred_pension,aux_pension,pred_equity,aux_equity
148426,0,0,0,0.1341167390346527,2,0.1760549247264862,False,0.48943641606246313,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2398832819951373,0.5537080387601874,0.9342081095146356,0.9342213895278946,0.7820160492208117,0.7058250904083252,0.5818663239479065,1.8058481145999394e-05,0.0,0.29415395855903625,0.06602100282907486,2.7564835818338906e-06,0.35211268067359924
148431,1,0,1,0.34421613812446594,0,0.22694070637226105,False,0.5853515284368989,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2774666767425771,0.7310290937748164,0.8698811873040857,0.8716946731668048,0.8154284414100095,0.5461186170578003,1.0,0.0018782971892505884,0.0,0.38619786500930786,0.0,0.06580523401498795,0.0
148471,2,2,2,0.48955288529396057,2,0.33650848269462585,False,0.9999999984161703,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.21094630061223185,0.8647434116443314,0.9163475995565856,0.9180461687673463,0.8967250659181404,0.41450372338294983,0.024403100833296776,0.0030821708496659994,0.2635324001312256,0.22043803334236145,0.6330047845840454,0.3619760572910309,0.07905972003936768
148501,2,0,2,0.37054309248924255,4,0.04876675084233284,False,0.8983533226207062,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3281717896461487,0.6022974927494054,0.5646538994525675,0.5646538994525675,0.5797113367713027,0.3281145989894867,0.23886969685554504,0.00017435557674616575,0.0,0.6635968089103699,0.7611302733421326,0.008114282973110676,0.0
148621,0,0,0,0.08297878503799438,4,0.47104111313819885,False,0.9999997024325407,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3235634781833241,0.11559516624049844,0.8676844490151161,0.8676844490151161,0.566848735905269,0.9545881152153015,0.01250837929546833,1.8384972690910217e-06,0.0,0.045409440994262695,0.9874916076660156,7.245457140925282e-07,0.0
148681,2,1,2,0.4741426110267639,1,0.0972985029220581,False,0.9999999997836433,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3726898729801178,0.829244528449753,0.7765152699749425,0.7774167454216435,0.7981478586328874,0.3726898431777954,0.5672869086265564,0.0007843643543310463,0.0,0.45972269773483276,0.432713121175766,0.1668030172586441,0.0
148756,1,0,1,0.241705060005188,1,0.25568845868110657,False,0.9956821674270631,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.26863510384009004,0.6644976864451122,0.7975597789442329,0.7975754389089321,0.7443443379234042,0.5286227464675903,0.01727125234901905,1.3289084563439246e-05,0.0,0.4713518023490906,0.9827287197113037,1.2117794540245086e-05,0.0
148851,2,1,2,0.40117764472961426,0,0.20220139622688293,False,0.11817930501760457,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2678564745010448,0.8141573979397597,0.9347978332456377,0.9368643179873861,0.8877815499683356,0.5270874500274658,0.9314902424812317,0.0031835767440497875,0.0,0.2596431374549866,0.06850974261760712,0.21008579432964325,0.0
148906,1,0,1,0.2301425039768219,0,0.24839559197425842,False,0.007345612720485953,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.25585071430970174,0.66695631930122,0.7832598926646978,0.7835589837441346,0.7369179179669687,0.5032088160514832,1.0,0.00024093594402074814,0.0,0.4963310658931732,0.0,0.00021919993741903454,0.0
148976,2,1,2,0.46823248267173767,3,0.12301072478294373,False,0.8401388383850558,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.21450344010780498,0.8341321527740452,0.8930186790449248,0.8930186790449248,0.869464068536573,0.42078933119773865,0.18905678391456604,0.001757103600539267,0.0,0.4097563922405243,0.6557778716087341,0.16769713163375854,0.15516535937786102
149121,2,0,2,0.4172634184360504,1,0.04825625568628311,False,0.9999999290634796,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.31576284766197205,0.5879617662083704,0.5512141558203472,0.5512141558203472,0.5659131999755564,0.31571322679519653,0.41222575306892395,0.0001570410095155239,0.0,0.6775953769683838,0.5877742171287537,0.006534296087920666,0.0
149146,0,0,0,0.0369902066886425,2,0.22629418969154358,False,0.4824548617809294,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3382257911343096,0.004683607355919032,0.8347380951398139,0.8347380951398139,0.5027163000262559,0.9982404708862305,0.5474070906639099,9.49062339827833e-08,0.0,0.0017548969481140375,0.0,4.543340764939785e-06,0.4525929093360901
149191,1,0,1,0.16979385912418365,1,0.20617590844631195,False,0.9999996965771893,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.253513129670738,0.5059460826151986,0.9384128581951415,0.9384128581951415,0.7654261479631643,0.746071994304657,0.3355705440044403,0.0002993897069245577,0.0,0.2520776689052582,0.6644294857978821,0.001550991553813219,0.0
149246,2,1,2,0.4506776034832001,2,0.22194267809391022,False,0.9942255817333543,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2565440535545349,0.8099635702078815,0.7525165141100967,0.7593408470698888,0.7795899363250859,0.2565440535545349,0.022456051781773567,0.005115130450576544,0.0,0.5336586236953735,0.9775439500808716,0.20468224585056305,0.0
